序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
207,pt206,3483083.0483,1224238.1247,35.0035," 31:14:40.84291"," 121:35:32.85720",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:15:37.0,2020-01-02 11:15:37.0,2020-01-02 03:15:37.0,2020-01-02 03:15:37.0,,2.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:28"," 196:59:30.22"
208,pt207,3483083.0479,1224238.1261,35.0035," 31:14:40.84289"," 121:35:32.85725",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:15:38.0,2020-01-02 11:15:38.0,2020-01-02 03:15:38.0,2020-01-02 03:15:38.0,,2.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:05:54.17"
209,pt208,3483083.0498,1224238.1257,35.0085," 31:14:40.84296"," 121:35:32.85724",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:39.0,2020-01-02 11:15:39.0,2020-01-02 03:15:39.0,2020-01-02 03:15:39.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:22"," 198:20:01.69"
210,pt209,3483083.0488,1224238.1268,34.9995," 31:14:40.84292"," 121:35:32.85728",34.9995,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:40.0,2020-01-02 11:15:40.0,2020-01-02 03:15:40.0,2020-01-02 03:15:40.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:16"," 198:56:19.18"
211,pt210,3483083.0495,1224238.1252,35.0005," 31:14:40.84295"," 121:35:32.85722",35.0005,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:41.0,2020-01-02 11:15:41.0,2020-01-02 03:15:41.0,2020-01-02 03:15:41.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:49"," 198:25:38.56"
212,pt211,3483083.0477,1224238.1272,35.0085," 31:14:40.84288"," 121:35:32.85729",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:42.0,2020-01-02 11:15:42.0,2020-01-02 03:15:42.0,2020-01-02 03:15:42.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:34:57.06"
213,pt212,3483083.0487,1224238.1276,35.0095," 31:14:40.84292"," 121:35:32.85731",35.0095,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:15:43.0,2020-01-02 11:15:43.0,2020-01-02 03:15:43.0,2020-01-02 03:15:43.0,,2.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:16"," 199:13:43.18"
214,pt213,3483083.0469,1224238.1255,35.0005," 31:14:40.84286"," 121:35:32.85722",35.0005,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:44.0,2020-01-02 11:15:44.0,2020-01-02 03:15:44.0,2020-01-02 03:15:44.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:41:33.06"
215,pt214,3483083.0490,1224238.1275,35.0025," 31:14:40.84293"," 121:35:32.85731",35.0025,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:45.0,2020-01-02 11:15:45.0,2020-01-02 03:15:45.0,2020-01-02 03:15:45.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 196:06:36.72"
216,pt215,3483083.0477,1224238.1258,35.0075," 31:14:40.84289"," 121:35:32.85724",35.0075,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:46.0,2020-01-02 11:15:46.0,2020-01-02 03:15:46.0,2020-01-02 03:15:46.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:28"," 197:21:42.22"
