序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
53,pt52,3483083.0567,1224238.1204,35.0095," 31:14:40.84319"," 121:35:32.85706",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:29.0,2020-01-02 10:50:29.0,2020-01-02 02:50:29.0,2020-01-02 02:50:29.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:58:52.25"
54,pt53,3483083.0544,1224238.1206,35.0125," 31:14:40.84312"," 121:35:32.85706",35.0125,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:30.0,2020-01-02 10:50:30.0,2020-01-02 02:50:30.0,2020-01-02 02:50:30.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:42:04.41"
55,pt54,3483083.0582,1224238.1206,35.0145," 31:14:40.84324"," 121:35:32.85707",35.0145,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:31.0,2020-01-02 10:50:31.0,2020-01-02 02:50:31.0,2020-01-02 02:50:31.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 193:28:13.03"
56,pt55,3483083.0578,1224238.1214,35.0115," 31:14:40.84322"," 121:35:32.85710",35.0115,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:32.0,2020-01-02 10:50:32.0,2020-01-02 02:50:32.0,2020-01-02 02:50:32.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 193:47:25.03"
57,pt56,3483083.0568,1224238.1212,35.0075," 31:14:40.84319"," 121:35:32.85709",35.0075,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:33.0,2020-01-02 10:50:33.0,2020-01-02 02:50:33.0,2020-01-02 02:50:33.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 194:41:48.72"
58,pt57,3483083.0547,1224238.1196,35.0075," 31:14:40.84313"," 121:35:32.85702",35.0075,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:34.0,2020-01-02 10:50:34.0,2020-01-02 02:50:34.0,2020-01-02 02:50:34.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:41:48.72"
59,pt58,3483083.0564,1224238.1218,35.0055," 31:14:40.84318"," 121:35:32.85711",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:35.0,2020-01-02 10:50:35.0,2020-01-02 02:50:35.0,2020-01-02 02:50:35.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:59:28.25"
60,pt59,3483083.0578,1224238.1212,35.0125," 31:14:40.84323"," 121:35:32.85709",35.0125,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:36.0,2020-01-02 10:50:36.0,2020-01-02 02:50:36.0,2020-01-02 02:50:36.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:45:24"," 194:43:32.82"
61,pt60,3483083.0584,1224238.1188,35.0115," 31:14:40.84325"," 121:35:32.85700",35.0115,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:37.0,2020-01-02 10:50:37.0,2020-01-02 02:50:37.0,2020-01-02 02:50:37.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:45:24"," 193:33:20.82"
62,pt61,3483083.0586,1224238.1208,35.0135," 31:14:40.84325"," 121:35:32.85708",35.0135,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:38.0,2020-01-02 10:50:38.0,2020-01-02 02:50:38.0,2020-01-02 02:50:38.0,,2.0,32,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:45:24"," 193:53:08.82"
